path,name,category,version,date,status,description,issues
docs/README.md,Documentation Index,meta,—,2026-03,Active,Short project overview with getting started instructions and link to catalog,None
docs/product/application_foundations.md,Application Foundations,product,0.1,2025-11,Active,Vision and goals; foundation document for all subsequent docs,None
docs/product/product_requirements.md,Product Requirements Document,product,0.1,2025-11,Active,"Full PRD: feature requirements by phase, UX flows, wireframes, KPIs, tech requirements",None
docs/product/builtin_mantras_library.md,Built-in Mantras Library,product,0.1,2025-11,Active,"Canonical source for curated mantra content: Sanskrit/IAST/English/Hebrew, cultural context, JSON metadata",None
docs/product/app_flowchart.md,Application Flowchart,product,0.1,2025-11,Unsynched — outdated,User flows and screen details for all app screens,"Contains Login/Registration/PlanSelection/Logout flows that contradict the offline-first no-backend architecture; cloud backup described as premium instead of Phase 2.0; core session/counter flow entirely absent; 'Goals' terminology conflicts with 'Reminders' in PRD and SRS"
docs/software/software_architecture.md,Software Architecture Document,software,0.2,2026-03,Draft,"Clean architecture layers; Phase 1.0 SharedPreferences vs Phase 2.0+ Isar; module structure; technology stack","Phase 1.0 implementation is simplified vs full clean-arch target described for Phase 2.0+"
docs/software/software_requirements.md,Software Requirements Specification,software,0.1,2025-11,Draft,"60+ functional and non-functional requirements (SR-1.1–SR-9.3); acceptance criteria; data models","§1.4 References cites 'PRD v1.0' — should be v0.1"
docs/software/phased_implementation.md,Phased Implementation Plan,software,0.1,2025-11,Draft,Week-by-week dev roadmap across 3 phases with sprint tasks and deployment checklists,"Phase table header lists only iOS for Phase 1.0; body correctly states iOS + Android; many sprint tasks are now complete (bootstrap done)"
docs/software/folder_structure.md,Folder Structure,software,1.0,2026-03,Active,Complete annotated folder layout for the Flutter application; reflects post-restructure state,"Version header added"
docs/software/build-system-architecture.md,Build System Architecture,software,1.0,2026-03,Active,"Make targets, toolchain stages, target.json config, compatibility constraints, stage responsibility rules",None
